Time (min),Abs
6.900937557,-0.888817072
6.901145458,-0.890329301
6.901354313,-0.888716519
6.901562214,-0.888253093
6.901770592,-0.888725936
6.901979446,-0.89000988
6.902187347,-0.889029324
6.902395725,-0.888610005
6.902603626,-0.890090406
6.902812481,-0.888569832
6.903020859,-0.889433742
6.90322876,-0.889129877
6.903437614,-0.889493942
6.903645515,-0.89062649
6.903853893,-0.889166236
6.904062748,-0.889072001
6.904270649,-0.88888377
6.904479027,-0.888613224
6.904687405,-0.889868021
6.904895782,-0.889975131
6.90510416,-0.89002645
6.905312061,-0.890649974
6.905520916,-0.889138997
6.905728817,-0.889935017
6.905937195,-0.889698505
6.906146049,-0.889116108
6.906353951,-0.889203548
6.906562328,-0.88963455
6.906770706,-0.889426231
6.906979084,-0.8872872
6.907187462,-0.889771462
6.90739584,-0.889769852
6.907604218,-0.888587236
6.907812119,-0.888730407
6.908020496,-0.888596416
6.908229351,-0.887599289
6.908437252,-0.889426529
6.90864563,-0.888542295
6.908854008,-0.890066266
6.909062386,-0.890318096
6.909270763,-0.890918255
6.909479141,-0.888670802
6.909687519,-0.887470722
6.90989542,-0.88768208
6.910104275,-0.888940632
6.910312653,-0.889611602
6.910520554,-0.889584899
6.910728931,-0.889846444
6.910937309,-0.888066471
6.911145687,-0.888497233
6.911354065,-0.886370778
6.911562443,-0.890127718
6.911770821,-0.889260411
6.911978722,-0.887289941
6.912187576,-0.890023351
6.912395954,-0.889569342
6.912603855,-0.889656663
6.91281271,-0.887341917
6.913020611,-0.889736593
6.913228989,-0.890855074
6.913437366,-0.888146579
6.913645744,-0.889509261
6.913854122,-0.889719069
6.914062023,-0.890672684
6.914270878,-0.890994966
6.914479256,-0.890361488
6.914687157,-0.889184713
6.914896011,-0.889918566
6.915103912,-0.889802039
6.91531229,-0.887328208
6.915521145,-0.889497995
6.915729046,-0.886699319
6.915937424,-0.889933527
6.916145325,-0.888811827
6.916354179,-0.888382852
6.916562557,-0.889447689
6.916770458,-0.889855623
6.916979313,-0.890444815
6.917187214,-0.889089227
6.917395592,-0.889736116
6.917604446,-0.88712877
6.917812347,-0.89052707
6.918020725,-0.890057027
6.918228626,-0.88899219
6.918437481,-0.889768779
6.918645859,-0.885628402
6.91885376,-0.890258431
6.919062614,-0.889274836
6.919270515,-0.890680075
6.919478893,-0.890237153
6.919687748,-0.89046675
6.919895649,-0.890302777
6.920104027,-0.889243126
6.920312405,-0.888459325
6.920520782,-0.889401972
6.92072916,-0.889361978
6.920937061,-0.890361667
6.921145916,-0.889539838
6.921353817,-0.888522923
6.921562195,-0.889851153
6.921771049,-0.886563361
6.921978951,-0.889562547
6.922187328,-0.889944434
6.922395706,-0.890353143
6.922604084,-0.889144957
6.922812462,-0.889111936
6.92302084,-0.889339149
6.923229218,-0.890384734
6.923437119,-0.888930321
6.923645496,-0.889276445
6.923854351,-0.889652014
6.924062252,-0.889456332
6.92427063,-0.889043272
6.924479008,-0.886914015
6.924687386,-0.884948134
6.924895763,-0.888798773
6.925104141,-0.889325857
6.925312519,-0.889390111
6.92552042,-0.889118195
6.925729275,-0.888055086
6.925937653,-0.888680756
6.926145554,-0.889575958
6.926353931,-0.888783932
6.926562309,-0.889445007
6.926770687,-0.888881087
6.926979065,-0.88948673
6.927187443,-0.888582707
6.927395821,-0.889254451
6.927603722,-0.889465034
6.927812576,-0.88944453
6.928020954,-0.889401138
6.928228855,-0.889570475
6.92843771,-0.89011097
6.928645611,-0.888488472
6.928853989,-0.889009953
6.929062366,-0.889930606
6.929270744,-0.889136136
6.929479122,-0.888528526
6.929687023,-0.889615536
6.929895878,-0.889654458
6.930104256,-0.889097393
6.930312157,-0.889356732
6.930521011,-0.889139295
6.930728912,-0.888393879
6.93093729,-0.889859676
6.931146145,-0.889415264
6.931354046,-0.889647961
6.931562424,-0.890372992
6.931770325,-0.888920605
6.931979179,-0.885853767
6.932187557,-0.888689041
6.932395458,-0.889001966
6.932604313,-0.889685035
6.932812214,-0.889287233
6.933020592,-0.886341691
6.933229446,-0.88967514
6.933437347,-0.890047312
6.933645725,-0.890083432
6.933853626,-0.889015675
6.934062481,-0.889288306
6.934270859,-0.889524043
6.93447876,-0.890313983
6.934687614,-0.889327765
6.934895515,-0.889451206
6.935103893,-0.889971435
6.935312748,-0.891367614
6.935520649,-0.88892293
6.935729027,-0.888583839
6.935937405,-0.889381051
6.936145782,-0.889873147
6.93635416,-0.890849233
6.936562061,-0.889425874
6.936770916,-0.8865484
6.936978817,-0.887975276
6.937187195,-0.889127076
6.937396049,-0.888715684
6.937603951,-0.889881551
6.937812328,-0.890036345
6.938020706,-0.889552057
6.938229084,-0.890084386
6.938437462,-0.888343155
6.93864584,-0.889949322
6.938854218,-0.890921712
6.939062119,-0.890829206
6.939270496,-0.890433133
6.939479351,-0.887802124
6.939687252,-0.889262795
6.93989563,-0.889821649
6.940104008,-0.888797224
